div | Amenities & Features Title | Amenities & Features | 20 | 1579 | 350 | 36 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
h5 |  | Amenities & Features | 20 | 1579 | 350 | 36 | Switzer | 24px | 500 | 36px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Amenities & Features Container | Gym Elevator Security Parking Air Conditioning Bal | 20 | 1625 | 350 | 158 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 15px | flex | none | none | fill | visible | relative
div | Amenity Item Container | Gym | 20 | 1625 | 73 | 43 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Amenity Item Stack | Gym | 20 | 1625 | 73 | 43 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 10px | 10px 20px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | clip | relative
div | Amenity Name | Gym | 40 | 1635 | 33 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Gym | 40 | 1635 | 33 | 23 | Switzer | 15px | 500 | 22.5px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Amenity Item Container | Elevator | 108 | 1625 | 100 | 43 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
div | Amenity Item Stack | Elevator | 108 | 1625 | 100 | 43 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgb(246, 246, 246) | 10px | 10px 20px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | clip | relative
div | Amenity Name | Elevator | 128 | 1635 | 60 | 23 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | normal | flex | none | none | fill | visible | relative
p |  | Elevator | 128 | 1635 | 60 | 23 | Switzer | 15px | 500 | 22.5px | normal | rgb(8, 11, 15) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(8, 11, 15) | none | 1 | normal | block | none | none | fill | visible | static
div | Amenity Item Container | Security | 223 | 1625 | 101 | 43 | sans-serif | 12px | 400 | normal | normal | rgb(0, 0, 0) | rgba(0, 0, 0, 0) | 0px | 0px | 0px none rgb(0, 0, 0) | none | 1 | 10px | flex | none | none | fill | visible | relative
